SPEKAER_ID; TEXTS; FREELOCCODE; AREA; COUNTY; LOC; SPEAKER_AGE; SPEAKER_DOB; SPEAKER_DECADE; SPEKAER_SEX; REC_DATE; REC_DECADE; EEXTENT; R
HebMMcl ; HEB_001 ; Heb Skye Balmaquien ; Heb ; Skye ; Balmaquien ; 64 ;  ;  ; f ;  ;  ; 3320
Heb18 ; HEB_001 ; Heb Skye Balmaquien ; Heb ; Skye ; Balmaquien ; 67 ;  ;  ; m ;  ;  ; 1900
Heb21 ; HEB_002 ; Heb Skye Staffin ; Heb ; Skye ; Staffin ; 11 ;  ;  ; f ;  ;  ; 119
Heb22 ; HEB_002 ; Heb Skye Staffin ; Heb ; Skye ; Staffin ; 11 ;  ;  ; m ;  ;  ; 489
Heb23 ; HEB_003 ; Heb Skye Staffin ; Heb ; Skye ; Staffin ; 11 ;  ;  ; f ;  ;  ; 55
Heb24 ; HEB_003 ; Heb Skye Staffin ; Heb ; Skye ; Staffin ; 11 ;  ;  ; m ;  ;  ; 528
Heb42 ; HEB_004 ; Heb Skye Portree ; Heb ; Skye ; Portree ; 8 ;  ;  ; f ;  ;  ; 210
Heb43 ; HEB_004 ; Heb Skye Portree ; Heb ; Skye ; Portree ; 8 ;  ;  ; m ;  ;  ; 95
HebNN ; HEB_005 ; Heb Skye  ; Heb ; Skye ;  ;  ;  ;  ; m ;  ;  ; 541
Heb53 ; HEB_006 ; Heb   ; Heb ;  ;  ;  ;  ;  ; m ;  ;  ; 4097
Heb54 ; HEB_006 ; Heb   ; Heb ;  ;  ;  ;  ;  ; m ;  ;  ; 2960
Heb57 ; HEB_007,HEB_008 ; Heb North_Uist  ; Heb ; North_Uist ;  ; 77 ;  ;  ;  ;  ;  ; 7152
Heb2 ; HEB_009 ; Heb Skye Portree ; Heb ; Skye ; Portree ; 15 ;  ;  ; f ;  ;  ; 1111
Heb3 ; HEB_010 ; Heb Skye Struan ; Heb ; Skye ; Struan ; 17 ;  ;  ; f ;  ;  ; 3249
Heb7 ; HEB_011 ; Heb Skye North_Duntulm ; Heb ; Skye ; North_Duntulm ; 65 ;  ;  ; m ;  ;  ; 4631
Heb8 ; HEB_012 ; Heb Skye Portree ; Heb ; Skye ; Portree ; 15 ;  ;  ; f ;  ;  ; 1568
Heb9 ; HEB_013 ; Heb Skye Portree ; Heb ; Skye ; Portree ; 17 ;  ;  ; f ;  ;  ; 1656
Heb12 ; HEB_014 ; Heb   ; Heb ;  ;  ; 75 ;  ;  ; f ;  ;  ; 2390
Heb014unknown ; HEB_014 ; Heb   ; Heb ;  ;  ;  ;  ;  ;  ;  ;  ; 104
Heb14 ; HEB_015 ; Heb Skye  ; Heb ; Skye ;  ; 50 ;  ;  ; m ;  ;  ; 8906
Heb16 ; HEB_016 ; Heb Skye Portree_Kingsburgh ; Heb ; Skye ; Portree_Kingsburgh ; 90 ;  ;  ; f ;  ;  ; 2874
Heb016unknown ; HEB_016 ; Heb Skye Portree_Kingsburgh ; Heb ; Skye ; Portree_Kingsburgh ;  ;  ;  ; f ;  ;  ; 7
Heb016husband ; HEB_016 ; Heb Skye Portree_Kingsburgh ; Heb ; Skye ; Portree_Kingsburgh ;  ;  ;  ; m ;  ;  ; 15
Heb19 ; HEB_017 ; Heb Skye Bornaskitaig ; Heb ; Skye ; Bornaskitaig ; 90 ;  ;  ; f ;  ;  ; 3970
Heb25 ; HEB_018 ; Heb South_Uist Staffin_Clachan ; Heb ; South_Uist ; Staffin_Clachan ; 81 ;  ;  ; m ;  ;  ; 14320
Heb26 ; HEB_019 ; Heb Skye Balmaquien ; Heb ; Skye ; Balmaquien ; 40 ;  ;  ;  ;  ;  ; 1980
Heb37 ; HEB_020 ; Heb Skye Portree_Staffin ; Heb ; Skye ; Portree_Staffin ; 10 ;  ;  ; f ;  ;  ; 1070
Heb38 ; HEB_021 ; Heb  Maliger ; Heb ;  ; Maliger ; 45 ;  ;  ; f ;  ;  ; 5097
Heb39 ; HEB_022 ; Heb   ; Heb ;  ;  ;  ;  ;  ; m ;  ;  ; 3359
Heb022unknown ; HEB_022 ; Heb   ; Heb ;  ;  ;  ;  ;  ; f ;  ;  ; 13
Heb022wife ; HEB_022 ; Heb   ; Heb ;  ;  ;  ;  ;  ; f ;  ;  ; 3
Heb41 ; HEB_023 ; Heb Skye Portree_Staffin ; Heb ; Skye ; Portree_Staffin ; 16 ;  ;  ; m ;  ;  ; 2137
Heb44 ; HEB_024 ; Heb Skye Stenscholl ; Heb ; Skye ; Stenscholl ; 45 ;  ;  ; m ;  ;  ; 4118
Heb51 ; HEB_025 ; Heb Skye  ; Heb ; Skye ;  ;  ;  ;  ; m ;  ;  ; 7300
Heb52 ; HEB_026 ; Heb   ; Heb ;  ;  ;  ;  ;  ;  ;  ;  ; 554
Heb56 ; HEB_027 ; Heb North_Uist Clachan ; Heb ; North_Uist ; Clachan ; 47 ;  ;  ; f ;  ;  ; 2516
Heb58 ; HEB_028 ; Heb North_Uist  ; Heb ; North_Uist ;  ; 27 ;  ;  ;  ;  ;  ; 3127
Heb59 ; HEB_029 ; Heb North_Uist Locheport ; Heb ; North_Uist ; Locheport ; 37 ;  ;  ; m ;  ;  ; 1460
Heb60 ; HEB_030 ; Heb   ; Heb ;  ;  ;  ;  ;  ; m ;  ;  ; 4911
Heb62 ; HEB_031 ; Heb   ; Heb ;  ;  ;  ;  ;  ;  ;  ;  ; 5335
Heb63 ; HEB_032 ; Heb South_Uist  ; Heb ; South_Uist ;  ; 77 ;  ;  ; f ;  ;  ; 8829
Heb64 ; HEB_033 ; Heb   ; Heb ;  ;  ;  ;  ;  ; f ;  ;  ; 3452
Heb033unknown ; HEB_033 ; Heb   ; Heb ;  ;  ;  ;  ;  ;  ;  ;  ; 455
Heb67 ; HEB_034 ; Heb South_Uist Howbeg ; Heb ; South_Uist ; Howbeg ; 19 ;  ;  ; f ;  ;  ; 4289
Heb68 ; HEB_035 ; Heb South_Uist Howbeg ; Heb ; South_Uist ; Howbeg ; 68 ;  ;  ; f ;  ;  ; 2653
Heb76 ; HEB_036 ; Heb South_Uist Iochdar ; Heb ; South_Uist ; Iochdar ; 68 ;  ;  ; f ;  ;  ; 2655
Heb77 ; HEB_037 ; Heb North_Uist  ; Heb ; North_Uist ;  ; 11 ;  ;  ; f ;  ;  ; 4008
Heb72 ; HEB_038 ; Heb Benbecula Hacklett ; Heb ; Benbecula ; Hacklett ; 15 ;  ;  ; m ;  ;  ; 2123
Heb73 ; HEB_039 ; Heb Berneray Innes ; Heb ; Berneray ; Innes ; 6 ;  ;  ; m ;  ;  ; 927
Heb74 ; HEB_040 ; Heb South_Uist Loch_Carnan ; Heb ; South_Uist ; Loch_Carnan ; 66 ;  ;  ; f ;  ;  ; 4426
Heb78 ; HEB_041 ; Heb Carinish Claddach ; Heb ; Carinish ; Claddach ; 62 ;  ;  ; m ;  ;  ; 1522
Heb79 ; HEB_041 ; Heb Carinish Claddach ; Heb ; Carinish ; Claddach ;  ;  ;  ;  ;  ;  ; 267
Heb80 ; HEB_041 ; Heb Carinish Claddach ; Heb ; Carinish ; Claddach ;  ;  ;  ;  ;  ;  ; 9
IomBK ; IOM_001 ; MAN Isle_of_Man Laxey ; MAN ; Isle_of_Man ; Laxey ; 85 ; 1895 ; 189 ; m ; 1980 ;  ; 5822
IomRC ; IOM_002 ; MAN Isle_of_Man Ramsey ; MAN ; Isle_of_Man ; Ramsey ; 77 ; 1894 ; 189 ; m ; 1971 ; 198 ; 4639
LeiA ; Lei_001 ; Mid Leicestershire  ; Mid ; Leicestershire ;  ;  ;  ;  ; m ;  ; 197 ; 1038
LeiB ; Lei_001 ; Mid Leicestershire  ; Mid ; Leicestershire ;  ;  ;  ;  ; m ;  ; 197 ; 1392
Lei2 ; LEI_002 ; Mid Leicestershire Caldwell ; Mid ; Leicestershire ; Caldwell ;  ; 1903 ; 190 ; m ;  ; 197 ; 5883
NotA103 ; NTT_001 ; mid Nottinghamshire Nottingham ; mid ; Nottinghamshire ; Nottingham ; 85 ; 1899 ; 189 ; m ; 1984 ; 197 ; 5684
